Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-CA,CA-15,125100,110850,8852750,216775,821800,2851000,827000,35985000,476900,522600,1168500,98200
US,US-CA,CA-16,100400,88750,7133750,173575,658200,2284000,662500,28792500,382000,417975,933750,78550
US,US-CA,CA-17,215300,190750,15252500,373075,1414200,4907000,1423500,61935000,820900,899325,2011500,168950
US,US-CA,CA-18,193600,171750,13687750,335975,1273400,4418000,1282000,55822500,739000,810450,1814250,152200
US,US-CA,CA-19,114400,101450,8104000,198450,752300,2610000,757500,32962500,436700,478500,1071000,89900
US,US-CA,CA-2,156100,138550,11033000,271000,1027200,3564000,1034000,45037500,596200,653850,1464000,122800
US,US-CA,CA-20,135400,120100,9577000,234925,890400,3089000,896500,39015000,516800,566625,1268250,106450
US,US-CA,CA-21,175400,154400,12621000,302000,1145900,3979000,1152000,50062500,665100,724200,1614750,136450
US,US-CA,CA-22,223400,196100,15995750,383550,1455100,5048000,1463000,63622500,843700,920025,2055750,173500
US,US-CA,CA-23,115500,102000,8247000,199475,756500,2625000,761000,33067500,439100,479475,1070250,90300
US,US-CA,CA-24,141700,125700,10041500,245825,931900,3233000,938000,40822500,540800,592650,1326000,111250
US,US-CA,CA-25,535700,467150,38840000,913650,3468000,12035000,3485000,151282500,2010200,2182350,4865250,413250
US,US-CA,CA-26,183600,161700,13123000,316275,1199500,4162000,1206500,52462500,695700,759750,1697250,143200
US,US-CA,CA-27,137600,121900,9741250,238475,904000,3136000,910000,39592500,524600,574950,1286250,107950
US,US-CA,CA-28,223800,198150,15878250,387525,1469200,5097000,1478500,64327500,852500,933750,2088750,175400
US,US-CA,CA-29,164400,145350,11673250,284300,1077800,3739000,1084500,47145000,625400,684525,1530750,128800
US,US-CA,CA-3,109700,97250,7764250,190175,721000,2501000,725500,31575000,418400,458625,1026000,86100
US,US-CA,CA-30,231300,203650,16517250,398325,1510700,5242000,1519500,66082500,876200,956850,2139000,180300
US,US-CA,CA-31,224300,196900,16192750,385125,1460800,5077000,1469000,63795000,847100,923475,2057250,174100
US,US-CA,CA-32,119500,105250,8542500,205875,780800,2709000,785500,34125000,453000,494400,1104000,93150
US,US-CA,CA-33,223000,197800,15771250,386850,1466300,5087000,1476000,64260000,850900,933225,2089500,175150
US,US-CA,CA-34,171100,151400,12142250,296100,1122600,3895000,1129500,49102500,651600,713325,1594500,133950
US,US-CA,CA-35,124200,109600,8841500,214350,812800,2821000,818000,35550000,471900,515475,1151250,97050
US,US-CA,CA-36,148300,131250,10519250,256775,973600,3378000,979500,42600000,564900,618525,1382250,116150
US,US-CA,CA-37,140800,124750,9966500,244050,925100,3209000,931000,40507500,536800,588525,1316250,110450
US,US-CA,CA-38,100400,88650,7138500,173425,657600,2281000,661500,28770000,381600,417225,933000,78550
US,US-CA,CA-39,704400,613000,51010500,1198950,4551700,15788000,4572500,198360000,2637900,2860500,6377250,542150
US,US-CA,CA-4,162400,143750,11517750,281125,1065900,3698000,1072500,46642500,618600,677400,1514250,127200
US,US-CA,CA-40,83900,74200,5953000,145150,550300,1909000,554000,24075000,319200,349575,781500,65700
US,US-CA,CA-41,121300,107400,8592750,210025,796200,2762000,801500,34822500,462000,506325,1131750,95050
US,US-CA,CA-42,118300,104650,8400500,204700,776100,2693000,781000,33967500,450400,492900,1101750,92700
US,US-CA,CA-43,246000,217900,17437500,426150,1615400,5607000,1626000,70657500,938400,1027275,2296500,193100
US,US-CA,CA-44,91700,81150,6502500,158750,601800,2088000,605500,26347500,349200,382500,855750,71900
US,US-CA,CA-45,841400,735450,60828750,1438450,5460600,18954000,5486500,238342500,3166300,3436650,7675500,651450
US,US-CA,CA-46,229600,200450,16492500,392025,1487700,5158000,1495500,64965000,862300,937500,2096250,177800
US,US-CA,CA-47,154800,136800,11013250,267550,1014500,3520000,1021000,44407500,588800,643875,1440000,121150
US,US-CA,CA-48,640800,560550,46332000,1096325,4161500,14447000,4182000,181665000,2413700,2620575,5850000,495900
US,US-CA,CA-49,334400,294200,24052500,575400,2182900,7579000,2195000,95437500,1266500,1380150,3081000,260200
US,US-CA,CA-5,127300,112900,9002250,220825,837000,2904000,842500,36675000,485800,532650,1191750,100000
US,US-CA,CA-50,137000,121250,9737500,237175,899200,3121000,905000,39375000,521900,571125,1276500,107400
US,US-CA,CA-51,121600,107650,8633000,210550,798200,2770000,803500,34927500,463400,507150,1134000,95350
US,US-CA,CA-52,207300,183600,14710750,359150,1361500,4725000,1370500,59625000,790400,865425,1935750,162700
US,US-CA,CA-53,153100,135650,10865500,265275,1005800,3490000,1012000,44025000,583800,639225,1429500,120100
US,US-CA,CA-6,257900,228500,18271500,446925,1694300,5879000,1705500,74167500,983700,1077450,2409000,202350
US,US-CA,CA-7,168500,148350,12031250,290200,1100400,3817000,1107000,48142500,638500,697725,1559250,131350
US,US-CA,CA-8,144000,127350,10236000,249100,944500,3277000,950500,41332500,548100,599775,1340250,112750
US,US-CA,CA-9,105300,93150,7483000,182200,690800,2397000,695000,30232500,400900,438750,981000,82500
US,US-CO,CO-1,631700,556700,45104250,1088850,4129100,14327000,4154000,180735000,2395100,2617800,5853000,492200
US,US-CO,CO-2,240800,213100,17085250,416825,1580100,5483000,1590500,69262500,917200,1004175,2247000,188600
US,US-CO,CO-3,200200,176600,14288000,345425,1309900,4546000,1318000,57352500,760300,830550,1856250,156250
US,US-CO,CO-4,202300,178400,14381500,348900,1322700,4590000,1331000,57922500,767600,839175,1875000,157750
US,US-CO,CO-5,182700,161600,12970250,316100,1198300,4159000,1206000,52522500,695800,761400,1703250,143000
US,US-CO,CO-6,562000,489750,40596500,957850,3635200,12607000,3653500,158820000,2107200,2288775,5115750,433850
US,US-CO,CO-7,180400,158950,12852500,310925,1179000,4090000,1186500,51630000,684200,747525,1671750,140700
US,US-CT,CT-1,143400,127200,10144500,248775,943200,3272000,949500,41310000,547200,599850,1341750,112550
US,US-CT,CT-2,133700,118600,9455500,232000,879500,3051000,885000,38527500,510300,559500,1251750,104950
US,US-CT,CT-3,136700,121150,9664750,236925,898300,3116000,904000,39315000,521100,571200,1276500,107150
US,US-CT,CT-4,159100,140800,11272250,275425,1044300,3622000,1051000,45727500,605700,663225,1483500,124700
US,US-CT,CT-5,127300,112800,9002250,220600,836400,2901000,842000,36622500,485200,531600,1188750,99850
US,US-DC,DC-AT LARGE,927100,817850,65646000,1599650,6065500,20997000,6104000,265447500,3515300,3852150,8623500,723750
US,US-DE,DE-AT LARGE,240600,212100,16948750,414900,1573400,5454000,1583000,68805000,911700,996525,2234250,188500
